,Title,Budget
0,Avatar,425000000
1,Pirates of the Caribbean: On Stranger Tides,410600000
2,Avengers: Age of Ultron,330600000
3,Star Wars Ep. VIII: The Last Jedi,317000000
4,Star Wars Ep. VII: The Force Awakens,306000000
5,Avengers: Infinity War,300000000
6,Pirates of the Caribbean: At Worldâ\x80\x99s End,300000000
7,Justice League,300000000
8,Spectre,300000000
9,The Dark Knight Rises,275000000
10,The Lone Ranger,275000000
11,John Carter,275000000
12,Tangled,260000000
13,Spider-Man 3,258000000
14,Captain America: Civil War,250000000
15,Batman v Superman: Dawn of Justice,250000000
16,The Hobbit: An Unexpected Journey,250000000
17,Harry Potter and the Half-Blood Prince,250000000
18,The Hobbit: The Desolation of Smaug,250000000
19,The Hobbit: The Battle of the Five Armies,250000000
20,The Fate of the Furious,250000000
21,Solo: A Star Wars Story,250000000
22,Superman Returns,232000000
23,Pirates of the Caribbean: Dead Men Tell No Tales,230000000
24,Quantum of Solace,230000000
25,The Avengers,225000000
26,Pirates of the Caribbean: Dead Manâ\x80\x99s Chest,225000000
27,Man of Steel,225000000
28,The Chronicles of Narnia: Prince Caspian,225000000
29,The Amazing Spider-Man,220000000
30,Battleship,220000000
31,Transformers: The Last Knight,217000000
32,Jurassic World,215000000
33,Men in Black 3,215000000
34,Transformers: Revenge of the Fallen,210000000
35,Transformers: Age of Extinction,210000000
36,X-Men: The Last Stand,210000000
37,Robin Hood,210000000
38,King Kong,207000000
39,The Golden Compass,205000000
40,Black Panther,200000000
41,Titanic,200000000
42,Incredibles 2,200000000
43,Rogue One: A Star Wars Story,200000000
44,Finding Dory,200000000
45,Toy Story 3,200000000
46,Iron Man 3,200000000
47,Guardians of the Galaxy Vol 2,200000000
48,Spider-Man 2,200000000
49,Alice in Wonderland,200000000
50,Skyfall,200000000
51,Monsters University,200000000
52,Oz the Great and Powerful,200000000
53,X-Men: Days of Future Past,200000000
54,The Amazing Spider-Man 2,200000000
55,Cars 2,200000000
56,Tron: Legacy,200000000
57,2012,200000000
58,Terminator Salvation,200000000
59,Green Lantern,200000000
60,Prince of Persia: Sands of Time,200000000
61,Fantastic Beasts: The Crimes of Grindelwald,200000000
62,Transformers: Dark of the Moon,195000000
63,The Mummy,195000000
64,Jack the Giant Slayer,195000000
65,Furious 7,190000000
66,Star Trek Into Darkness,190000000
67,World War Z,190000000
68,The Great Gatsby,190000000
69,Disneyâ\x80\x99s A Christmas Carol,190000000
70,Pacific Rim,190000000
71,The Good Dinosaur,187500000
72,Iron Man,186000000
73,The Dark Knight,185000000
74,Indiana Jones and the Kingdom of the Crystal Skull,185000000
75,Brave,185000000
76,Kong: Skull Island,185000000
77,Star Trek Beyond,185000000
78,Blade Runner 2049,185000000
79,Thor: Ragnarok,180000000
80,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,180000000
81,Maleficent,180000000
82,Fantastic Beasts and Where to Find Them,180000000
83,WALL-E,180000000
84,Rush Hour 3,180000000
85,The Legend of Tarzan,180000000
86,Hugo,180000000
87,Valerian and the City of a Thousand Planets,180000000
88,Jupiter Ascending,179000000
89,Mission: Impossibleâ\x80\x94Fallout,178000000
90,X-Men: Apocalypse,178000000
91,Edge of Tomorrow,178000000
92,The Jungle Book,175000000
93,Inside Out,175000000
94,Spider-Man: Homecoming,175000000
95,Suicide Squad,175000000
96,Up,175000000
97,Coco,175000000
98,Monsters vs. Aliens,175000000
99,Cars 3,175000000
100,G.I. Joe: The Rise of Cobra,175000000
101,Wild Wild West,175000000
102,The Mummy: Tomb of the Dragon Emperor,175000000
103,Evan Almighty,175000000
104,Waterworld,175000000
105,King Arthur: Legend of the Sword,175000000
106,47 Ronin,175000000
107,Singularity,175000000
108,Jurassic World: Fallen Kingdom,170000000
109,Guardians of the Galaxy,170000000
110,Iron Man 2,170000000
111,Captain America: The Winter Soldier,170000000
112,Dawn of the Planet of the Apes,170000000
113,The Polar Express,170000000
114,Snow White and the Huntsman,170000000
115,Terminator 3: Rise of the Machines,170000000
116,Van Helsing,170000000
117,Tomorrowland,170000000
118,Alice Through the Looking Glass,170000000
119,Shrek Forever After,165000000
120,Doctor Strange,165000000
121,Big Hero 6,165000000
122,How to Train Your Dragon,165000000
123,Wreck-It Ralph,165000000
124,Interstellar,165000000
125,Independence Day: Resurgence,165000000
126,Cowboys and Aliens,163000000
