,BoxOffice,Runtime,Title,Year,imdbVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count,score_of_D,score_of_W,score_of_A
0,883827118.4336998,162,Avatar,2009,1010278,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"UK, USA",2,0.31553508069927755,0.19025770260916516,2.561037852231493
1,1039048027.6996161,194,Titanic,1997,922729,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,0.31553508069927755,0.19025770260916516,3.0561699049136015
2,425484616.7254069,141,Wonder Woman,2017,444177,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"USA, China, Hong Kong",3,0.0933586754572887,0.024265995790025877,1.7835302163330482
3,567591669.4802704,121,Spider-Man,2002,622899,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,0.436841593861678,0.07458967683873403,3.5336356003674907
4,79266526.01000495,127,Jurassic Park,1993,755018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1,1.454859333535564,0.23656895584830395,2.472765813800319
5,492346186.7252672,140,Star Wars: Episode III - Revenge of the Sith,2005,619959,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"USA, Italy, Switzerland, Thailand, Tunisia",5,0.2386460233478992,0.1743338311726151,2.600727947067019
6,563271983.67,142,Forrest Gump,1994,1539440,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,0.7972297566108274,0.0247862618601146,2.6272572950990702
7,448520251.10200006,178,The Lord of the Rings: The Fellowship of the Ring,2001,1451077,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New Zealand, USA",2,0.563320852947226,0.08538574504542222,1.1145793044913503
8,339320242.21330386,148,Inception,2010,1767563,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"USA, UK",2,0.5474272292280793,0.10998764032104107,3.086924337109422
9,552972297.196745,103,Home Alone,1990,386574,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.5235398768363505,0.4799337456190083,2.0888681740330735
10,386869374.3915,138,The Matrix Reloaded,2003,468281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,0.2612141901976633,0.18977508396024612,0.13718206731427277
11,380390056.5707317,104,How the Grinch Stole Christmas,2000,172140,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, Germany",2,1.086522133697891,0.03185732865932692,1.201889931944132
12,395046639.2364695,98,Men in Black,1997,461901,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,USA,1,0.4095911505108916,0.045197850926526735,3.4323336225552366
13,333394241.7353348,101,Bruce Almighty,2003,339278,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.22655666203541525,0.08732912000957134,3.3611159610312002
14,389742882.21042806,113,Twister,1996,161549,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,0.1783333421436541,0.23656895584830395,2.3309013217707855
15,303149559.29897153,116,War of the Worlds,2005,379003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1,1.454859333535564,0.04262633571452392,2.684777942826173
16,277354895.2206,115,The Bourne Ultimatum,2007,571608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"USA, Germany, France, Spain",4,0.40495555165195213,0.20406899129373593,2.928443953352051
17,323054975.62746674,90,Rush Hour 2,2001,183088,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, Hong Kong",2,0.37618365545711197,0.044056897917399536,1.5436799637467042
18,88375665.53828387,84,Beauty and the Beast,1991,380739,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,USA,1,0.13890687758506354,0.09543515404130319,0.3706736465652246
19,264880769.7715217,92,Alvin and the Chipmunks,2007,68175,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,USA,1,0.13826634610109462,0.0546258727054775,0.9524072252854103
20,312681439.68983525,95,Austin Powers: The Spy Who Shagged Me,1999,201504,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.3963457984572316,0.133554173069395,1.361024104371254
