,BoxOffice,Runtime,Title,Year,imdbVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count,score_of_D,score_of_W
0,883827118.4336998,162,Avatar,2009,1010278,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"UK, USA",2,2.3776269787159867,2.0669710857037735
1,1039048027.6996161,194,Titanic,1997,922729,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,2.3776269787159867,2.0669710857037735
2,425484616.7254069,141,Wonder Woman,2017,444177,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"USA, China, Hong Kong",3,0.9778353315720645,0.42121148074699377
3,567591669.4802704,121,Spider-Man,2002,622899,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,2.8711809799494543,1.0073749782692818
4,79266526.01000495,127,Jurassic Park,1993,755018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1,5.967443724197185,2.2645384002121736
5,492346186.7252672,140,Star Wars: Episode III - Revenge of the Sith,2005,619959,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"USA, Italy, Switzerland, Thailand, Tunisia",5,1.90666544988625,1.893973191897462
6,563271983.67,142,Forrest Gump,1994,1539440,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,4.240832927043962,0.43024230905755356
7,448520251.10200006,178,The Lord of the Rings: The Fellowship of the Ring,2001,1451077,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New Zealand, USA",2,3.4478034330883096,1.1531818705369594
8,339320242.21330386,148,Inception,2010,1767563,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"USA, UK",2,3.466973808777281,1.3832587753701742
9,552972297.196745,103,Home Alone,1990,386574,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,3.1043160046655762,3.7196640379555346
10,386869374.3915,138,The Matrix Reloaded,2003,468281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,1.9683069928738837,1.987697246554026
11,380390056.5707317,104,How the Grinch Stole Christmas,2000,172140,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, Germany",2,4.90663245454669,0.47375682576327155
12,395046639.2364695,98,Men in Black,1997,461901,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,USA,1,2.5940284211485034,0.6721464506724669
13,333394241.7353348,101,Bruce Almighty,2003,339278,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,1.7071548135613581,1.0373523877301505
14,389742882.21042806,113,Twister,1996,161549,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,1.4247965135055414,2.2645384002121736
15,303149559.29897153,116,War of the Worlds,2005,379003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1,5.967443724197185,0.6339049239811276
16,277354895.2206,115,The Bourne Ultimatum,2007,571608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"USA, Germany, France, Spain",4,2.7721019568639442,2.1374111060153016
17,323054975.62746674,90,Rush Hour 2,2001,183088,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, Hong Kong",2,2.472501180504162,0.6551791059923944
18,88375665.53828387,84,Beauty and the Beast,1991,380739,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,USA,1,1.2964389992958518,1.2002395352887905
19,264880769.7715217,92,Alvin and the Chipmunks,2007,68175,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,USA,1,1.1840597188197297,0.7377527247985717
20,312681439.68983525,95,Austin Powers: The Spy Who Shagged Me,1999,201504,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,2.605018693283164,1.5122690070031086
21,312733437.25827366,151,Armageddon,1998,363243,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1,2.6021804035666496,1.0880735028319262
22,251027254.5018,154,Superman Returns,2006,258590,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,2.608871751184147,0.38083343951852844
23,224854355.3427221,122,Twilight,2008,384735,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,2.0471869931138613,0.7852553341768087
24,217995294.0924,100,The Polar Express,2004,148683,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,USA,1,4.240832927043962,0.3631819050127453
25,241077973.1934,120,Mr. & Mrs. Smith,2005,404116,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,2.628987564502873,1.2152114344005105
26,258787435.88414064,92,Jurassic Park III,2001,264299,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1,2.42081747057882,2.2645384002121736
27,147233730.87115526,117,Ant-Man,2015,458735,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,1.9677096080358387,1.0732531357043043
28,211893737.8780021,107,X-Men Origins: Wolverine,2009,423789,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"USA, UK",2,1.780258248950476,1.404057044003199
29,414949958.36809474,110,Top Gun,1986,258456,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,3.5307934888005894,0.3567598379477832
30,229911145.6653609,118,Hitch,2005,273536,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,2.4406182863131085,0.3712476103494506
31,345231294.5400302,119,Pretty Woman,1990,253329,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,3.2514269987234603,0.8701050859478159
32,248009882.1732,81,Ice Age,2002,386241,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,1.4288805457337121,0.8423888000246339
33,231620902.48440483,131,National Treasure,2004,281572,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,USA,1,2.6031791718587707,2.172149913860305
34,243889801.46198508,135,A Beautiful Mind,2001,743358,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,4.90663245454669,1.235016708411687
35,234084515.98795512,131,Hannibal,2001,233087,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, UK",2,4.665200893672623,1.4519236126364166
36,231138461.6172,141,Catch Me If You Can,2002,683263,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, Canada",2,5.967443724197185,0.8914062538940858
37,293542528.26558614,126,Batman Returns,1992,249416,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, UK",2,3.989895148567889,1.5707109519488163
38,252569768.75188053,95,A Bug's Life,1998,243619,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,2.001784491377554,1.9896567195313923
39,187888360.2422956,102,Grown Ups,2010,205818,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,2.316122291344506,0.602963330170215
40,277081978.31524,154,The Firm,1993,106087,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,USA,1,3.0310349646172625,1.9070725556269015
41,235809249.7338,124,The Mummy,1999,360308,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,1.5794604688480263,1.2503858409604602
42,179221185.66978672,145,Sex and the City,2008,108929,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,0.6176298420897185,0.5068674931483031
43,353652809.1462773,96,Rambo: First Blood Part II,1985,138380,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"USA, Mexico",2,1.4822568744250113,0.8856679502493987
44,160415113.33926427,96,Daddy's Home,2015,91857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,1.4015388323504447,0.3095894914814956
45,167796949.40980303,90,Puss in Boots,2011,130658,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,0.8351183783105933,0.3909756180947884
46,300263828.1475608,114,Lethal Weapon 2,1989,149047,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,3.758850473241515,1.2790645047121332
47,223648165.3809797,85,Doctor Dolittle,1998,87217,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,1.8956452424890304,0.5549989879406371
48,168778302.99396312,108,Mamma Mia!,2008,183938,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"USA, UK, Germany",3,0.7926734209622108,0.3492502474713702
49,219040834.85799283,98,Rush Hour,1998,216507,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,2.472501180504162,0.6551791059923944
50,212514278.22183323,84,Stuart Little,1999,113246,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Germany, USA",2,1.8297698440887888,0.6646858013263651
