,BoxOffice,Director,Runtime,Title,Writer,Year,imdbRating,imdbVotes,Internet_Movie_Database,Rotten_Tomatoes,Metacritic,First_actor,Second_actor,Third_actor,Forth_actor,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count
0,883827118.4336998,James Cameron,162,Avatar,James Cameron,2009,7.8,1010278,7.8,8.3,8.3,Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"UK, USA",2
1,1039048027.6996161,James Cameron,194,Titanic,James Cameron,1997,7.8,922729,7.8,8.9,7.5,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
2,425484616.7254069,Patty Jenkins,141,Wonder Woman,Allan Heinberg,2017,7.5,444177,7.5,9.3,7.6,Gal Gadot,Chris Pine,Connie Nielsen,Robin Wright,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"USA, China, Hong Kong",3
3,567591669.4802704,Sam Raimi,121,Spider-Man,Stan Lee,2002,7.3,622899,7.3,9.0,7.3,Tobey Maguire,Willem Dafoe,Kirsten Dunst,James Franco,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1
4,79266526.01000495,Steven Spielberg,127,Jurassic Park,Michael Crichton,1993,8.1,755018,8.1,9.1,6.8,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1
5,492346186.7252672,George Lucas,140,Star Wars: Episode III - Revenge of the Sith,George Lucas,2005,7.6,619959,7.6,7.9,6.8,Ewan McGregor,Natalie Portman,Hayden Christensen,Ian McDiarmid,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"USA, Italy, Switzerland, Thailand, Tunisia",5
6,563271983.67,Robert Zemeckis,142,Forrest Gump,Winston Groom,1994,8.8,1539440,8.8,7.3,8.2,Tom Hanks,Rebecca Williams,Sally Field,Michael Conner Humphreys,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
7,448520251.10200006,Peter Jackson,178,The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,2001,8.8,1451077,8.8,9.1,9.2,Alan Howard,Noel Appleby,Sean Astin,Sala Baker,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New Zealand, USA",2
8,339320242.21330386,Christopher Nolan,148,Inception,Christopher Nolan,2010,8.8,1767563,8.8,8.6,7.4,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"USA, UK",2
9,552972297.196745,Chris Columbus,103,Home Alone,John Hughes,1990,7.5,386574,7.5,6.2,6.3,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
10,386869374.3915,Lana Wachowski,138,The Matrix Reloaded,Lilly Wachowski,2003,7.2,468281,7.2,7.3,6.2,Ray Anthony,Christine Anu,Andy Arness,Alima Ashton-Sheibu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1
11,380390056.5707317,Ron Howard,104,How the Grinch Stole Christmas,Dr. Seuss,2000,6.1,172140,6.1,5.2,4.6,Jim Carrey,Taylor Momsen,Kelley,Jeffrey Tambor,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, Germany",2
12,395046639.2364695,Barry Sonnenfeld,98,Men in Black,Lowell Cunningham,1997,7.3,461901,7.3,9.2,7.1,Tommy Lee Jones,Will Smith,Linda Fiorentino,Vincent D'Onofrio,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,USA,1
13,333394241.7353348,Tom Shadyac,101,Bruce Almighty,Steve Koren,2003,6.7,339278,6.7,4.9,4.6,Jim Carrey,Morgan Freeman,Jennifer Aniston,Philip Baker Hall,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
14,389742882.21042806,Jan de Bont,113,Twister,Michael Crichton,1996,6.3,161549,6.3,5.7,6.8,Helen Hunt,Bill Paxton,Cary Elwes,Jami Gertz,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1
