Adjusted_BoxOffice,BoxOffice,NLP_Score,Director,Runtime,Title,Writer,Year,imdbRating,imdbVotes,Internet_Movie_Database,Rotten_Tomatoes,Metacritic,First_actor,Second_actor,Third_actor,Forth_actor,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count
883.8271184336999,749.7,18.600911038076056,James Cameron,162,Avatar,James Cameron,2009,7.8,1009009,7.8,8.3,8.3,Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"UK, USA",2
1039.0480276996161,659.363944,20.004369209192493,James Cameron,194,Titanic,James Cameron,1997,7.8,919766,7.8,8.9,7.5,Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
425.4846167254069,412.400625,12.257118610848615,Patty Jenkins,141,Wonder Woman,Allan Heinberg,2017,7.5,444037,7.5,9.3,7.6,Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"USA, China, Hong Kong",3
567.5916694802704,403.706375,21.101227328279094,Sam Raimi,121,Spider-Man,Stan Lee,2002,7.3,620642,7.3,9.0,7.3,Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1
79.26652601000495,45.29968,21.574697913694724,Steven Spielberg,127,Jurassic Park,Michael Crichton,1993,8.1,751491,8.1,9.1,6.8,Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1
492.34618672526716,380.270577,16.534942004304266,George Lucas,140,Star Wars: Episode III - Revenge of the Sith,George Lucas,2005,7.6,618125,7.6,7.9,6.8,Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"USA, Italy, Switzerland, Thailand, Tunisia",5
563.2719836699999,330.0,16.148456328194076,Robert Zemeckis,142,Forrest Gump,Winston Groom,1994,8.8,1536054,8.8,7.3,8.2,Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1
448.52025110200003,314.0,11.710897854844651,Peter Jackson,178,The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,2001,8.8,1448679,8.8,9.1,9.2,Alan Howard, Noel Appleby, Sean Astin, Sala Baker,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New Zealand, USA",2
339.32024221330386,292.568851,21.20090846015995,Christopher Nolan,148,Inception,Christopher Nolan,2010,8.8,1766435,8.8,8.6,7.4,Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"USA, UK",2
552.972297196745,285.761243,19.550654657380463,Chris Columbus,103,Home Alone,John Hughes,1990,7.5,382624,7.5,6.2,6.3,Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1
