,BoxOffice,Runtime,Title,Year,imdbVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Country,Country_count,Adj_Score
0,883827118.4336998,162,Avatar,2009,1010278,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"UK, USA",2,18.60091103807606
1,1039048027.6996161,194,Titanic,1997,922729,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,20.004369209192493
2,425484616.7254069,141,Wonder Woman,2017,444177,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"USA, China, Hong Kong",3,12.257118610848615
3,567591669.4802704,121,Spider-Man,2002,622899,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,21.101227328279098
4,79266526.01000495,127,Jurassic Park,1993,755018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1,21.574697913694727
5,492346186.7252672,140,Star Wars: Episode III - Revenge of the Sith,2005,619959,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"USA, Italy, Switzerland, Thailand, Tunisia",5,16.534942004304263
6,563271983.67,142,Forrest Gump,1994,1539440,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,16.148456328194076
7,448520251.10200006,178,The Lord of the Rings: The Fellowship of the Ring,2001,1451077,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New Zealand, USA",2,11.710897854844657
8,339320242.21330386,148,Inception,2010,1767563,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"USA, UK",2,21.200908460159948
9,552972297.196745,103,Home Alone,1990,386574,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,19.550654657380466
10,386869374.3915,138,The Matrix Reloaded,2003,468281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,5.811873006296222
11,380390056.5707317,104,How the Grinch Stole Christmas,2000,172140,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, Germany",2,12.577361249294368
12,395046639.2364695,98,Men in Black,1997,461901,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,USA,1,19.41157317629511
13,333394241.7353348,101,Bruce Almighty,2003,339278,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,18.38509235871646
14,389742882.21042806,113,Twister,1996,161549,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,17.06940659905655
15,303149559.29897153,116,War of the Worlds,2005,379003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1,20.20539891059616
16,277354895.2206,115,The Bourne Ultimatum,2007,571608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"USA, Germany, France, Spain",4,20.35406061506429
17,323054975.62746674,90,Rush Hour 2,2001,183088,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, Hong Kong",2,12.922437552668065
18,88375665.53828387,84,Beauty and the Beast,1991,380739,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,USA,1,6.236438613050904
19,264880769.7715217,92,Alvin and the Chipmunks,2007,68175,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,USA,1,8.844561076791225
20,312681439.68983525,95,Austin Powers: The Spy Who Shagged Me,1999,201504,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,13.019080041337604
21,312733437.25827366,151,Armageddon,1998,363243,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1,21.002395378444657
22,251027254.5018,154,Superman Returns,2006,258590,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,14.527391064008857
23,224854355.3427221,122,Twilight,2008,384735,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,9.077163359174214
24,217995294.0924,100,The Polar Express,2004,148683,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,USA,1,12.86964244484187
25,241077973.1934,120,Mr. & Mrs. Smith,2005,404116,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,18.86796305568521
26,258787435.88414064,92,Jurassic Park III,2001,264299,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,USA,1,18.33706140027321
27,147233730.87115526,117,Ant-Man,2015,458735,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,14.819355367547013
28,211893737.8780021,107,X-Men Origins: Wolverine,2009,423789,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"USA, UK",2,13.748204199205137
29,414949958.36809474,110,Top Gun,1986,258456,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,19.79627742280171
30,229911145.6653609,118,Hitch,2005,273536,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,13.052716997667126
31,345231294.5400302,119,Pretty Woman,1990,253329,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,17.074608524409793
32,248009882.1732,81,Ice Age,2002,386241,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,13.232546585104226
33,231620902.48440483,131,National Treasure,2004,281572,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,USA,1,18.72837435323902
34,243889801.46198508,135,A Beautiful Mind,2001,743358,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,25.848159786208814
35,234084515.98795512,131,Hannibal,2001,233087,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, UK",2,25.474241251122315
36,231138461.6172,141,Catch Me If You Can,2002,683263,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, Canada",2,27.3537988440136
37,293542528.26558614,126,Batman Returns,1992,249416,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA, UK",2,24.73562609605051
38,252569768.75188053,95,A Bug's Life,1998,243619,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,13.15242657666683
39,187888360.2422956,102,Grown Ups,2010,205818,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,14.609676208284942
40,277081978.31524,154,The Firm,1993,106087,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,USA,1,20.366083198533264
41,235809249.7338,124,The Mummy,1999,360308,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,14.702342560880197
42,179221185.66978672,145,Sex and the City,2008,108929,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,8.91925914194967
43,353652809.1462773,96,Rambo: First Blood Part II,1985,138380,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"USA, Mexico",2,11.127423501262843
44,160415113.33926427,96,Daddy's Home,2015,91857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,15.51012855046277
45,167796949.40980303,90,Puss in Boots,2011,130658,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,16.015754929642313
46,300263828.1475608,114,Lethal Weapon 2,1989,149047,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,20.032317861797754
47,223648165.3809797,85,Doctor Dolittle,1998,87217,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,15.818626291829275
48,168778302.99396312,108,Mamma Mia!,2008,183938,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"USA, UK, Germany",3,13.543996647970209
49,219040834.85799283,98,Rush Hour,1998,216507,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,13.368416534013837
50,212514278.22183323,84,Stuart Little,1999,113246,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Germany, USA",2,13.532161272419183
51,319705561.93779707,120,Platoon,1986,346469,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,USA,1,22.672366249350677
52,218148093.95224223,126,Good Will Hunting,1997,740127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,18.624676092399977
53,145560897.67760462,117,Split,2016,292447,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,USA,1,12.839095090741473
54,157989703.89023468,112,The Incredible Hulk,2008,383204,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,19.004175311176894
55,157726490.26911685,110,Wanted,2008,334067,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"USA, Germany",2,18.617122824628833
56,520250645.6609358,143,Superman,1978,149116,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"USA, UK, Switzerland, Canada, Panama",5,21.09969944991558
57,177422459.87249997,163,Troy,2004,438155,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"USA, Malta, UK",3,8.379852037920552
58,157237814.64430696,138,Angels & Demons,2009,246783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"USA, Italy",2,22.96730271389782
59,152972252.8150682,110,Get Smart,2008,187290,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,18.18141987214023
60,180776846.6601227,115,The Ring,2002,292405,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"USA, Japan",2,14.526637718684917
61,188099410.85880128,120,"Crouching Tiger, Hidden Dragon",2000,238435,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Taiwan, Hong Kong, USA, China",4,13.062940733082385
62,192646657.4696125,128,The World Is Not Enough,1999,174926,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"UK, USA",2,16.334882907708135
63,115928972.08407882,89,Lucy,2014,388684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"France, Taiwan, Germany",3,19.33795000638556
64,167918128.84044564,125,Ocean's Twelve,2004,324864,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,19.429819853962343
65,206956615.60744783,116,Speed,1994,297542,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,USA,1,17.082950130564505
66,161724699.08715224,99,50 First Dates,2004,298837,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,USA,1,17.552473144938965
67,142085581.31834662,153,Inglourious Basterds,2009,1070175,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Germany, USA",2,15.570951498357228
68,204721595.04836527,101,The Mask,1994,307386,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,11.383260682918191
69,521415289.6252983,120,Rocky,1976,460052,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,USA,1,16.936595426338968
70,152879059.31491467,108,The Village,2004,221907,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,USA,1,22.11511782864278
71,3403541.072419407,165,The Patriot,2000,233922,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"USA, Germany",2,16.030046667045973
72,132866990.96649183,120,It's Complicated,2009,79373,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"USA, Japan",2,22.0440159056743
73,161008772.71492547,88,Spy Kids,2001,98763,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,USA,1,15.12298917319935
74,147529615.48237914,91,The Grudge,2004,130566,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,"USA, Japan",2,7.423529050209345
75,142850658.50075433,90,Fun with Dick and Jane,2005,123886,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1,18.18003018080469
76,151422604.0479202,97,Freaky Friday,2003,114090,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,USA,1,11.880163203746951
